"","id","enrollment_data_score","retention_data_score","price_data_score","ratio_data_score","enrollment_trend","price_trend","retention_trend","ratio_trend","total"
"1215",440794,0,1,0,1,NA,NA,NA,NA,NA
"1216",441511,1,0,0,1,NA,NA,NA,NA,NA
"1217",441609,1,0,0,1,NA,NA,NA,NA,NA
"1218",441690,1,1,0,1,NA,NA,NA,NA,NA
"1219",441982,0,0,0,0,0,0,0,0,0
"1220",442356,0,1,0,0,0,0,0,0,0
"1221",443049,1,0,0,1,NA,NA,NA,NA,NA
"1222",443058,1,1,1,1,NA,NA,NA,NA,NA
"1223",443340,1,1,1,1,NA,NA,NA,NA,NA
"1224",443562,1,1,0,1,NA,NA,NA,NA,NA
"1225",444398,1,1,0,0,2,0,0,0,2
"1226",444413,1,0,1,1,NA,NA,NA,NA,NA
"1227",444778,1,1,1,1,NA,NA,NA,NA,NA
"1228",445203,1,1,0,1,NA,NA,NA,NA,NA
"1229",445267,1,1,0,1,NA,NA,NA,NA,NA
"1230",445434,1,1,1,1,NA,NA,NA,NA,NA
"1231",445708,0,0,0,1,NA,NA,NA,NA,NA
"1232",446048,0,0,0,0,0,0,0,0,0
"1233",446233,0,1,0,1,NA,NA,NA,NA,NA
"1234",446394,0,0,0,1,NA,NA,NA,NA,NA
"1235",446604,0,0,1,1,NA,NA,NA,NA,NA
"1236",446613,0,1,0,1,NA,NA,NA,NA,NA
"1237",446640,0,1,1,1,NA,NA,NA,NA,NA
"1238",446677,1,1,0,1,NA,NA,NA,NA,NA
"1239",447953,0,1,0,1,NA,NA,NA,NA,NA
"1240",448284,1,0,1,1,NA,NA,NA,NA,NA
"1241",448309,1,1,1,1,NA,NA,NA,NA,NA
"1242",448752,1,1,0,1,NA,NA,NA,NA,NA
"1243",448761,1,1,0,1,NA,NA,NA,NA,NA
"1244",449135,1,1,1,1,NA,NA,NA,NA,NA
"1245",449348,0,0,1,1,NA,NA,NA,NA,NA
"1246",449658,0,0,0,1,NA,NA,NA,NA,NA
"1247",449764,1,1,0,1,NA,NA,NA,NA,NA
"1248",449870,0,1,1,0,0,0,2,0,2
